Time,Source,Destination,SrcPort,DstPort,Protocol,Frame,Ack,Bytes,Payload
1.106647,192.168.122.20,192.168.121.10,21,55956,TCP,16,15,74,"21 > 55956 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=856436 TSecr=646877 WS=128"
1.107106,192.168.122.20,192.168.121.10,21,55956,TCP,19,18,66,21 > 55956 [ACK] Seq=1 Ack=257 Win=30080 Len=0 TSval=856436 TSecr=646878
1.108272,192.168.122.20,192.168.121.10,21,55956,TCP,21,20,66,21 > 55956 [ACK] Seq=1 Ack=513 Win=31104 Len=0 TSval=856436 TSecr=646878
1.109439,192.168.122.20,192.168.121.10,21,55956,TCP,23,22,66,21 > 55956 [ACK] Seq=1 Ack=769 Win=32256 Len=0 TSval=856436 TSecr=646878
1.113007,192.168.122.20,192.168.121.10,21,55956,TCP,25,24,66,21 > 55956 [ACK] Seq=1 Ack=1025 Win=33280 Len=0 TSval=856437 TSecr=646879
1.115576,192.168.122.20,192.168.121.10,21,55956,TCP,27,26,66,21 > 55956 [ACK] Seq=1 Ack=1281 Win=34432 Len=0 TSval=856438 TSecr=646880
1.118468,192.168.122.20,192.168.121.10,21,55956,TCP,29,28,66,21 > 55956 [ACK] Seq=1 Ack=1537 Win=35456 Len=0 TSval=856439 TSecr=646880
1.119380,192.168.122.20,192.168.121.10,21,55956,TCP,31,30,66,21 > 55956 [ACK] Seq=1 Ack=1793 Win=36480 Len=0 TSval=856439 TSecr=646881
1.120352,192.168.122.20,192.168.121.10,21,55956,TCP,33,32,66,21 > 55956 [ACK] Seq=1 Ack=2049 Win=37632 Len=0 TSval=856439 TSecr=646881
1.121482,192.168.122.20,192.168.121.10,21,55956,TCP,35,34,66,21 > 55956 [ACK] Seq=1 Ack=2305 Win=38656 Len=0 TSval=856440 TSecr=646881
1.122598,192.168.122.20,192.168.121.10,21,55956,TCP,37,36,66,21 > 55956 [ACK] Seq=1 Ack=2561 Win=39680 Len=0 TSval=856440 TSecr=646882
1.123642,192.168.122.20,192.168.121.10,21,55956,TCP,39,38,66,21 > 55956 [ACK] Seq=1 Ack=2817 Win=40832 Len=0 TSval=856440 TSecr=646882
1.131447,192.168.122.20,192.168.121.10,21,55956,TCP,42,41,66,21 > 55956 [ACK] Seq=1 Ack=4521 Win=44800 Len=0 TSval=856442 TSecr=646884
1.131694,192.168.122.20,192.168.121.10,21,55956,TCP,44,43,66,21 > 55956 [ACK] Seq=1 Ack=4609 Win=44800 Len=0 TSval=856442 TSecr=646884
1.133156,192.168.122.20,192.168.121.10,21,55956,TCP,46,45,66,21 > 55956 [ACK] Seq=1 Ack=4865 Win=47616 Len=0 TSval=856442 TSecr=646884
1.133411,192.168.122.20,192.168.121.10,21,55956,TCP,48,47,66,21 > 55956 [ACK] Seq=1 Ack=5121 Win=50560 Len=0 TSval=856442 TSecr=646884
1.134734,192.168.122.20,192.168.121.10,21,55956,TCP,50,49,66,21 > 55956 [ACK] Seq=1 Ack=5377 Win=53504 Len=0 TSval=856443 TSecr=646885
1.136044,192.168.122.20,192.168.121.10,21,55956,TCP,52,51,66,21 > 55956 [ACK] Seq=1 Ack=5633 Win=56320 Len=0 TSval=856443 TSecr=646885
1.138742,192.168.122.20,192.168.121.10,21,55956,TCP,54,53,66,21 > 55956 [ACK] Seq=1 Ack=5889 Win=59264 Len=0 TSval=856444 TSecr=646886
1.140715,192.168.122.20,192.168.121.10,21,55956,TCP,56,55,66,21 > 55956 [ACK] Seq=1 Ack=6145 Win=62208 Len=0 TSval=856444 TSecr=646886
1.140950,192.168.122.20,192.168.121.10,21,55956,TCP,58,57,66,21 > 55956 [ACK] Seq=1 Ack=6401 Win=65024 Len=0 TSval=856444 TSecr=646886
1.141798,192.168.122.20,192.168.121.10,21,55956,TCP,60,59,66,21 > 55956 [ACK] Seq=1 Ack=6657 Win=67968 Len=0 TSval=856445 TSecr=646886
1.142796,192.168.122.20,192.168.121.10,21,55956,TCP,63,62,66,21 > 55956 [ACK] Seq=1 Ack=6913 Win=70784 Len=0 TSval=856445 TSecr=646887
1.143878,192.168.122.20,192.168.121.10,21,55956,TCP,65,64,66,21 > 55956 [ACK] Seq=1 Ack=7169 Win=73728 Len=0 TSval=856445 TSecr=646887
1.151757,192.168.122.20,192.168.121.10,21,55956,TCP,68,67,66,21 > 55956 [ACK] Seq=1 Ack=8873 Win=79488 Len=0 TSval=856447 TSecr=646889
1.151892,192.168.122.20,192.168.121.10,21,55956,TCP,70,69,66,21 > 55956 [ACK] Seq=1 Ack=8961 Win=79488 Len=0 TSval=856447 TSecr=646889
1.152690,192.168.122.20,192.168.121.10,21,55956,TCP,72,71,66,21 > 55956 [ACK] Seq=1 Ack=9217 Win=82432 Len=0 TSval=856447 TSecr=646889
1.160946,192.168.122.20,192.168.121.10,21,55956,TCP,75,,78,[TCP Window Update] 21 > 55956 [ACK] Seq=1 Ack=9217 Win=85376 Len=0 TSval=856449 TSecr=646889 SLE=9473 SRE=10921
1.162531,192.168.122.20,192.168.121.10,21,55956,TCP,77,74,66,21 > 55956 [ACK] Seq=1 Ack=10921 Win=88192 Len=0 TSval=856450 TSecr=646892
1.164701,192.168.122.20,192.168.121.10,21,55956,TCP,79,78,66,21 > 55956 [ACK] Seq=1 Ack=11521 Win=91136 Len=0 TSval=856450 TSecr=646892
1.165292,192.168.122.20,192.168.121.10,21,55956,TCP,81,80,66,21 > 55956 [ACK] Seq=1 Ack=12033 Win=93952 Len=0 TSval=856450 TSecr=646892
1.165853,192.168.122.20,192.168.121.10,21,55956,TCP,83,82,66,21 > 55956 [ACK] Seq=1 Ack=12289 Win=96896 Len=0 TSval=856451 TSecr=646892
1.166716,192.168.122.20,192.168.121.10,21,55956,TCP,85,84,66,21 > 55956 [ACK] Seq=1 Ack=12545 Win=99840 Len=0 TSval=856451 TSecr=646893
1.168768,192.168.122.20,192.168.121.10,21,55956,TCP,87,86,66,21 > 55956 [ACK] Seq=1 Ack=12801 Win=102656 Len=0 TSval=856451 TSecr=646893
1.176416,192.168.122.20,192.168.121.10,21,55956,TCP,90,89,66,21 > 55956 [ACK] Seq=1 Ack=14505 Win=108544 Len=0 TSval=856453 TSecr=646895
1.183678,192.168.122.20,192.168.121.10,21,55956,TCP,93,92,66,21 > 55956 [ACK] Seq=1 Ack=16041 Win=111360 Len=0 TSval=856455 TSecr=646897
1.184305,192.168.122.20,192.168.121.10,21,55956,TCP,95,94,66,21 > 55956 [ACK] Seq=1 Ack=16129 Win=111360 Len=0 TSval=856455 TSecr=646897
1.185422,192.168.122.20,192.168.121.10,21,55956,TCP,97,96,66,21 > 55956 [ACK] Seq=1 Ack=16385 Win=114304 Len=0 TSval=856455 TSecr=646897
1.186475,192.168.122.20,192.168.121.10,21,55956,TCP,99,98,66,21 > 55956 [ACK] Seq=1 Ack=16641 Win=117120 Len=0 TSval=856456 TSecr=646897
1.187077,192.168.122.20,192.168.121.10,21,55956,TCP,101,100,66,21 > 55956 [ACK] Seq=1 Ack=16897 Win=120064 Len=0 TSval=856456 TSecr=646898
1.187531,192.168.122.20,192.168.121.10,21,55956,TCP,103,102,66,21 > 55956 [ACK] Seq=1 Ack=17153 Win=123008 Len=0 TSval=856456 TSecr=646898
1.195136,192.168.122.20,192.168.121.10,21,55956,TCP,106,105,66,21 > 55956 [ACK] Seq=1 Ack=18857 Win=128768 Len=0 TSval=856458 TSecr=646900
1.195369,192.168.122.20,192.168.121.10,21,55956,TCP,108,107,66,21 > 55956 [ACK] Seq=1 Ack=18945 Win=128768 Len=0 TSval=856458 TSecr=646900
1.196182,192.168.122.20,192.168.121.10,21,55956,TCP,110,109,66,21 > 55956 [ACK] Seq=1 Ack=19201 Win=131712 Len=0 TSval=856458 TSecr=646900
1.204232,192.168.122.20,192.168.121.10,21,55956,TCP,113,,78,[TCP Window Update] 21 > 55956 [ACK] Seq=1 Ack=19201 Win=134528 Len=0 TSval=856460 TSecr=646900 SLE=19457 SRE=20905
1.206516,192.168.122.20,192.168.121.10,21,55956,TCP,115,112,66,21 > 55956 [ACK] Seq=1 Ack=20905 Win=137472 Len=0 TSval=856461 TSecr=646903
1.213046,192.168.122.20,192.168.121.10,21,55956,TCP,118,117,66,21 > 55956 [ACK] Seq=1 Ack=22953 Win=143232 Len=0 TSval=856462 TSecr=646904
1.213313,192.168.122.20,192.168.121.10,21,55956,TCP,120,119,66,21 > 55956 [ACK] Seq=1 Ack=23041 Win=143232 Len=0 TSval=856462 TSecr=646904
1.213952,192.168.122.20,192.168.121.10,21,55956,TCP,122,121,66,21 > 55956 [ACK] Seq=1 Ack=23297 Win=146176 Len=0 TSval=856463 TSecr=646904
