"Time","Source","Destiny","SrcPort","DstPort","Protocol","Frame","Ack"
"0.000000","fe:54:00:9b:0a:6d","Spanning-tree-(for-bridges)_00","","","STP","1",""
"1.099389","192.168.121.10","192.168.122.20","46246","9000","TCP","2",""
"1.099762","RealtekU_76:4c:7c","RealtekU_9b:0a:6d","","","ARP","3",""
"1.099777","RealtekU_9b:0a:6d","RealtekU_76:4c:7c","","","ARP","4",""
"1.099786","192.168.122.20","192.168.121.10","9000","46246","TCP","5","2"
"1.099803","192.168.121.10","192.168.122.20","46246","9000","TCP","6","5"
"1.101882","192.168.121.10","192.168.122.20","46246","9000","TCP","7",""
"1.102422","192.168.122.20","192.168.121.10","9000","46246","TCP","8","7"
"1.102446","192.168.122.20","192.168.121.10","9000","46246","TCP","9",""
"1.102456","192.168.121.10","192.168.122.20","46246","9000","TCP","10","9"
"1.102648","192.168.121.10","192.168.122.20","46246","9000","TCP","11",""
"1.103721","192.168.122.20","192.168.121.10","9000","46246","TCP","12","11"
"1.103978","192.168.121.10","192.168.122.20","46246","9000","TCP","13","12"
"1.104460","192.168.122.20","192.168.121.10","9000","46246","TCP","14","13"
"1.106231","192.168.121.10","192.168.122.20","55956","21","TCP","15",""
"1.106647","192.168.122.20","192.168.121.10","21","55956","TCP","16","15"
"1.106666","192.168.121.10","192.168.122.20","55956","21","TCP","17","16"
"1.106849","192.168.121.10","192.168.122.20","55956","21","FTP","18",""
"1.107106","192.168.122.20","192.168.121.10","21","55956","TCP","19","18"
"1.107969","192.168.121.10","192.168.122.20","55956","21","FTP","20",""
"1.108272","192.168.122.20","192.168.121.10","21","55956","TCP","21","20"
"1.109078","192.168.121.10","192.168.122.20","55956","21","FTP","22",""
"1.109439","192.168.122.20","192.168.121.10","21","55956","TCP","23","22"
"1.112540","192.168.121.10","192.168.122.20","55956","21","FTP","24",""
"1.113007","192.168.122.20","192.168.121.10","21","55956","TCP","25","24"
"1.114750","192.168.121.10","192.168.122.20","55956","21","FTP","26",""
"1.115576","192.168.122.20","192.168.121.10","21","55956","TCP","27","26"
"1.118054","192.168.121.10","192.168.122.20","55956","21","FTP","28",""
"1.118468","192.168.122.20","192.168.121.10","21","55956","TCP","29","28"
"1.119116","192.168.121.10","192.168.122.20","55956","21","FTP","30",""
"1.119380","192.168.122.20","192.168.121.10","21","55956","TCP","31","30"
"1.120177","192.168.121.10","192.168.122.20","55956","21","FTP","32",""
"1.120352","192.168.122.20","192.168.121.10","21","55956","TCP","33","32"
"1.121242","192.168.121.10","192.168.122.20","55956","21","FTP","34",""
"1.121482","192.168.122.20","192.168.121.10","21","55956","TCP","35","34"
"1.122282","192.168.121.10","192.168.122.20","55956","21","FTP","36",""
"1.122598","192.168.122.20","192.168.121.10","21","55956","TCP","37","36"
"1.123343","192.168.121.10","192.168.122.20","55956","21","FTP","38",""
"1.123642","192.168.122.20","192.168.121.10","21","55956","TCP","39","38"
"1.124406","192.168.121.10","192.168.122.20","55956","21","FTP","40",""
"1.130994","192.168.121.10","192.168.122.20","55956","21","FTP","41",""
"1.131447","192.168.122.20","192.168.121.10","21","55956","TCP","42","41"
"1.131469","192.168.121.10","192.168.122.20","55956","21","FTP","43",""
"1.131694","192.168.122.20","192.168.121.10","21","55956","TCP","44","43"
"1.132221","192.168.121.10","192.168.122.20","55956","21","FTP","45",""
"1.133156","192.168.122.20","192.168.121.10","21","55956","TCP","46","45"
"1.133225","192.168.121.10","192.168.122.20","55956","21","FTP","47",""
"1.133411","192.168.122.20","192.168.121.10","21","55956","TCP","48","47"
"1.134319","192.168.121.10","192.168.122.20","55956","21","FTP","49",""
"1.134734","192.168.122.20","192.168.121.10","21","55956","TCP","50","49"
"1.135666","192.168.121.10","192.168.122.20","55956","21","FTP","51",""
"1.136044","192.168.122.20","192.168.121.10","21","55956","TCP","52","51"
"1.138304","192.168.121.10","192.168.122.20","55956","21","FTP","53",""
"1.138742","192.168.122.20","192.168.121.10","21","55956","TCP","54","53"
"1.139440","192.168.121.10","192.168.122.20","55956","21","FTP","55",""
"1.140715","192.168.122.20","192.168.121.10","21","55956","TCP","56","55"
"1.140737","192.168.121.10","192.168.122.20","55956","21","FTP","57",""
"1.140950","192.168.122.20","192.168.121.10","21","55956","TCP","58","57"
"1.141595","192.168.121.10","192.168.122.20","55956","21","FTP","59",""
"1.141798","192.168.122.20","192.168.121.10","21","55956","TCP","60","59"
"1.142255","192.168.121.10","192.168.122.20","46246","9000","TCP","61","14"
"1.142648","192.168.121.10","192.168.122.20","55956","21","FTP","62",""
"1.142796","192.168.122.20","192.168.121.10","21","55956","TCP","63","62"
"1.143713","192.168.121.10","192.168.122.20","55956","21","FTP","64",""
"1.143878","192.168.122.20","192.168.121.10","21","55956","TCP","65","64"
"1.144778","192.168.121.10","192.168.122.20","55956","21","FTP","66",""
"1.151469","192.168.121.10","192.168.122.20","55956","21","FTP","67",""
"1.151757","192.168.122.20","192.168.121.10","21","55956","TCP","68","67"
"1.151768","192.168.121.10","192.168.122.20","55956","21","FTP","69",""
"1.151892","192.168.122.20","192.168.121.10","21","55956","TCP","70","69"
"1.152528","192.168.121.10","192.168.122.20","55956","21","FTP","71",""
"1.152690","192.168.122.20","192.168.121.10","21","55956","TCP","72","71"
"1.153597","192.168.121.10","192.168.122.20","55956","21","FTP","73",""
"1.160037","192.168.121.10","192.168.122.20","55956","21","FTP","74",""
"1.160946","192.168.122.20","192.168.121.10","21","55956","TCP","75",""
"1.162257","192.168.121.10","192.168.122.20","55956","21","FTP","76",""
"1.162531","192.168.122.20","192.168.121.10","21","55956","TCP","77","74"
"1.162543","192.168.121.10","192.168.122.20","55956","21","FTP","78",""
"1.164701","192.168.122.20","192.168.121.10","21","55956","TCP","79","78"
"1.164730","192.168.121.10","192.168.122.20","55956","21","FTP","80",""
"1.165292","192.168.122.20","192.168.121.10","21","55956","TCP","81","80"
"1.165478","192.168.121.10","192.168.122.20","55956","21","FTP","82",""
"1.165853","192.168.122.20","192.168.121.10","21","55956","TCP","83","82"
"1.166527","192.168.121.10","192.168.122.20","55956","21","FTP","84",""
"1.166716","192.168.122.20","192.168.121.10","21","55956","TCP","85","84"
"1.167806","192.168.121.10","192.168.122.20","55956","21","FTP","86",""
"1.168768","192.168.122.20","192.168.121.10","21","55956","TCP","87","86"
"1.168803","192.168.121.10","192.168.122.20","55956","21","FTP","88",""
"1.176054","192.168.121.10","192.168.122.20","55956","21","FTP","89",""
"1.176416","192.168.122.20","192.168.121.10","21","55956","TCP","90","89"
"1.176444","192.168.121.10","192.168.122.20","55956","21","FTP","91",""
"1.182741","192.168.121.10","192.168.122.20","55956","21","FTP","92",""
"1.183678","192.168.122.20","192.168.121.10","21","55956","TCP","93","92"
"1.183730","192.168.121.10","192.168.122.20","55956","21","FTP","94",""
"1.184305","192.168.122.20","192.168.121.10","21","55956","TCP","95","94"
"1.184329","192.168.121.10","192.168.122.20","55956","21","FTP","96",""
"1.185422","192.168.122.20","192.168.121.10","21","55956","TCP","97","96"
"1.185441","192.168.121.10","192.168.122.20","55956","21","FTP","98",""
"1.186475","192.168.122.20","192.168.121.10","21","55956","TCP","99","98"
"1.186582","192.168.121.10","192.168.122.20","55956","21","FTP","100",""
"1.187077","192.168.122.20","192.168.121.10","21","55956","TCP","101","100"
"1.187302","192.168.121.10","192.168.122.20","55956","21","FTP","102",""
"1.187531","192.168.122.20","192.168.121.10","21","55956","TCP","103","102"
"1.188368","192.168.121.10","192.168.122.20","55956","21","FTP","104",""
"1.194932","192.168.121.10","192.168.122.20","55956","21","FTP","105",""
"1.195136","192.168.122.20","192.168.121.10","21","55956","TCP","106","105"
"1.195145","192.168.121.10","192.168.122.20","55956","21","FTP","107",""
"1.195369","192.168.122.20","192.168.121.10","21","55956","TCP","108","107"
"1.196019","192.168.121.10","192.168.122.20","55956","21","FTP","109",""
"1.196182","192.168.122.20","192.168.121.10","21","55956","TCP","110","109"
"1.197100","192.168.121.10","192.168.122.20","55956","21","FTP","111",""
"1.203884","192.168.121.10","192.168.122.20","55956","21","FTP","112",""
