Time,Source,Destiny,SrcPort,DstPort,Protocol,Frame,Ack,Payload
1.106849,192.168.121.10,192.168.122.20,55956,21,FTP,18,,Request: \\000\\000\\000\\001\\000\\000\\000\\001\\000\\001H*\\000
1.107969,192.168.121.10,192.168.122.20,55956,21,FTP,20,,Request: \\000\\000\\000\\001\\000\\000\\000\\002\\000\\001H*\\000
1.109078,192.168.121.10,192.168.122.20,55956,21,FTP,22,,Request: \\000\\000\\000\\001\\000\\000\\000\\003\\000\\001H*\\000
1.112540,192.168.121.10,192.168.122.20,55956,21,FTP,24,,Request: \\000\\000\\000\\001\\000\\000\\000\\004\\000\\001H*\\000
1.114750,192.168.121.10,192.168.122.20,55956,21,FTP,26,,Request: \\000\\000\\000\\001\\000\\000\\000\\005\\000\\001H*\\000
1.118054,192.168.121.10,192.168.122.20,55956,21,FTP,28,,Request: \\000\\000\\000\\001\\000\\000\\000\\006\\000\\001H*\\000
1.119116,192.168.121.10,192.168.122.20,55956,21,FTP,30,,Request: \\000\\000\\000\\001\\000\\000\\000\\a\\000\\001H*\\000
1.120177,192.168.121.10,192.168.122.20,55956,21,FTP,32,,Request: \\000\\000\\000\\001\\000\\000\\000\\b\\000\\001H*\\000
1.121242,192.168.121.10,192.168.122.20,55956,21,FTP,34,,Request: \\000\\000\\000\\001\\000\\000\\000\\t\\000\\001H*\\000
1.122282,192.168.121.10,192.168.122.20,55956,21,FTP,36,,Request: \\000\\000\\000\\001\\000\\000\\000
1.123343,192.168.121.10,192.168.122.20,55956,21,FTP,38,,Request: \\000\\000\\000\\001\\000\\000\\000\\v\\000\\001H*\\000
1.124406,192.168.121.10,192.168.122.20,55956,21,FTP,40,,Request: \\000\\000\\000\\001\\000\\000\\000\\f\\000\\001H*\\000
1.130994,192.168.121.10,192.168.122.20,55956,21,FTP,41,,Request: \\000\\000\\000\\001\\000\\000\\000
1.131469,192.168.121.10,192.168.122.20,55956,21,FTP,43,,Request: \\263\\346\\216\\354\\206\\241i\\2044Aj\\244Q\\301T|\\214.\\016\\260)\\243\\b$z1z\\224#\\312\\322\\326\\262\\341C9\\203\\254=7n'\\334\\277\\3511\\273\\365\\337\\312\\246\\210\\355/\\254h\\337\\247}\\003r\\317Z%\\261\\235\\3365\\312\\034\\3549D\\311x\\255z5\\243Z\\177\\312\\342my\\220VY
1.132221,192.168.121.10,192.168.122.20,55956,21,FTP,45,,Request: \\000\\000\\000\\001\\000\\000\\000\\023\\000\\001H*\\000
1.133225,192.168.121.10,192.168.122.20,55956,21,FTP,47,,Request: \\000\\000\\000\\001\\000\\000\\000\\024\\000\\001H*\\000
1.134319,192.168.121.10,192.168.122.20,55956,21,FTP,49,,Request: \\000\\000\\000\\001\\000\\000\\000\\025\\000\\001H*\\000
1.135666,192.168.121.10,192.168.122.20,55956,21,FTP,51,,Request: \\000\\000\\000\\001\\000\\000\\000\\026\\000\\001H*\\000
1.138304,192.168.121.10,192.168.122.20,55956,21,FTP,53,,Request: \\000\\000\\000\\001\\000\\000\\000\\027\\000\\001H*\\000
1.139440,192.168.121.10,192.168.122.20,55956,21,FTP,55,,Request: \\000\\000\\000\\001\\000\\000\\000\\030\\000\\001H*\\000
1.140737,192.168.121.10,192.168.122.20,55956,21,FTP,57,,Request: \\000\\000\\000\\001\\000\\000\\000\\031\\000\\001H*\\000
1.141595,192.168.121.10,192.168.122.20,55956,21,FTP,59,,Request: \\000\\000\\000\\001\\000\\000\\000\\032\\000\\001H*\\000
1.142648,192.168.121.10,192.168.122.20,55956,21,FTP,62,,Request: \\000\\000\\000\\001\\000\\000\\000\\033\\000\\001H*\\000
1.143713,192.168.121.10,192.168.122.20,55956,21,FTP,64,,Request: \\000\\000\\000\\001\\000\\000\\000\\034\\000\\001H*\\000
1.144778,192.168.121.10,192.168.122.20,55956,21,FTP,66,,Request: \\000\\000\\000\\001\\000\\000\\000\\035\\000\\001H*\\000
1.151469,192.168.121.10,192.168.122.20,55956,21,FTP,67,,Request: \\000\\000\\000\\001\\000\\000\\000\\036\\000\\001H*\\000
1.151768,192.168.121.10,192.168.122.20,55956,21,FTP,69,,Request: \\263\\346\\216\\354\\206\\241i\\2044Aj\\244Q\\301T|\\214.\\016\\260)\\243\\b$z1z\\224#\\312\\322\\326\\262\\341C9\\203\\254=7n'\\334\\277\\3511\\273\\365\\337\\312\\246\\210\\355/\\254h\\337\\247}\\003r\\317Z%\\261\\235\\3365\\312\\034\\3549D\\311x\\255z5\\243Z\\177\\312\\342my\\220VY
1.152528,192.168.121.10,192.168.122.20,55956,21,FTP,71,,Request: \\000\\000\\000\\001\\000\\000\\000$\\000\\001H*\\000
1.153597,192.168.121.10,192.168.122.20,55956,21,FTP,73,,Request: \\000\\000\\000\\001\\000\\000\\000%\\000\\001H*\\000
1.160037,192.168.121.10,192.168.122.20,55956,21,FTP,74,,Request: \\000\\000\\000\\001\\000\\000\\000&\\000\\001H*\\000
1.162257,192.168.121.10,192.168.122.20,55956,21,FTP,76,,[TCP Retransmission] Request: \\000\\000\\000\\001\\000\\000\\000%\\000\\001H*\\000
1.162543,192.168.121.10,192.168.122.20,55956,21,FTP,78,,"Request: \\263\\346\\216\\354\\206\\241i\\2044Aj\\244Q\\301T|\\214.\\016\\260)\\243\\b$z1z\\224#\\312\\322\\326\\262\\341C9\\203\\254=7n'\\334\\277\\3511\\273\\365\\337\\312\\246\\210\\355/\\254h\\337\\247}\\003r\\317Z%\\261\\235\\3365\\312\\034\\3549D\\311x\\255z5\\243Z\\177\\312\\342my\\220VY\\000\\000\\000\\001\\000\\000\\000,\\000\\001H*\\000"
1.164730,192.168.121.10,192.168.122.20,55956,21,FTP,80,,Request: \\000\\000\\000\\001\\000\\000\\000.\\000\\001H*\\000
1.165478,192.168.121.10,192.168.122.20,55956,21,FTP,82,,Request: \\000\\000\\000\\001\\000\\000\\0000\\000\\001H*\\000
1.166527,192.168.121.10,192.168.122.20,55956,21,FTP,84,,Request: \\000\\000\\000\\001\\000\\000\\0001\\000\\001H*\\000
1.167806,192.168.121.10,192.168.122.20,55956,21,FTP,86,,Request: \\000\\000\\000\\001\\000\\000\\0002\\000\\001H*\\000
1.168803,192.168.121.10,192.168.122.20,55956,21,FTP,88,,Request: \\000\\000\\000\\001\\000\\000\\0003\\000\\001H*\\000
1.176054,192.168.121.10,192.168.122.20,55956,21,FTP,89,,Request: \\000\\000\\000\\001\\000\\000\\0004\\000\\001H*\\000
1.176444,192.168.121.10,192.168.122.20,55956,21,FTP,91,,Request: \\263\\346\\216\\354\\206\\241i\\2044Aj\\244Q\\301T|\\214.\\016\\260)\\243\\b$z1z\\224#\\312\\322\\326\\262\\341C9\\203\\254=7n'\\334\\277\\3511\\273\\365\\337\\312\\246\\210\\355/\\254h\\337\\247}\\003r\\317Z%\\261\\235\\3365\\312\\034\\3549D\\311x\\255z5\\243Z\\177\\312\\342my\\220VY
1.182741,192.168.121.10,192.168.122.20,55956,21,FTP,92,,Request: \\000\\000\\000\\001\\000\\000\\000:\\000\\001H*\\000\\016\\027B\\000\\000\\001\\000wa\\374\\313\\365\\365M\\342\\306\\364\\210\\337q\\000h
1.183730,192.168.121.10,192.168.122.20,55956,21,FTP,94,,Request: \\263\\346\\216\\354\\206\\241i\\2044Aj\\244Q\\301T|\\214.\\016\\260)\\243\\b$z1z\\224#\\312\\322\\326\\262\\341C9\\203\\254=7n'\\334\\277\\3511\\273\\365\\337\\312\\246\\210\\355/\\254h\\337\\247}\\003r\\317Z%\\261\\235\\3365\\312\\034\\3549D\\311x\\255z5\\243Z\\177\\312\\342my\\220VY
1.184329,192.168.121.10,192.168.122.20,55956,21,FTP,96,,Request: \\000\\000\\000\\001\\000\\000\\000@\\000\\001H*\\000\\0161f\\000\\000\\001\\000wa\\374\\313\\365\\365M\\342\\306\\364\\210\\337q\\000h
1.185441,192.168.121.10,192.168.122.20,55956,21,FTP,98,,Request: \\000\\000\\000\\001\\000\\000\\000A\\000\\001H*\\000\\0165\\347\\000\\000\\001\\000wa\\374\\313\\365\\365M\\342\\306\\364\\210\\337q\\000h
1.186582,192.168.121.10,192.168.122.20,55956,21,FTP,100,,Request: \\000\\000\\000\\001\\000\\000\\000B\\000\\001H*\\000\\016:\\313\\000\\000\\001\\000wa\\374\\313\\365\\365M\\342\\306\\364\\210\\337q\\000h
1.187302,192.168.121.10,192.168.122.20,55956,21,FTP,102,,Request: \\000\\000\\000\\001\\000\\000\\000C\\000\\001H*\\000\\016>\\372\\000\\000\\001\\000wa\\374\\313\\365\\365M\\342\\306\\364\\210\\337q\\000h
1.188368,192.168.121.10,192.168.122.20,55956,21,FTP,104,,Request: \\000\\000\\000\\001\\000\\000\\000D\\000\\001H*\\000\\016C%\\000\\000\\001\\000wa\\374\\313\\365\\365M\\342\\306\\364\\210\\337q\\000h
